Data:  2015/11/24
Czas:  1:58:37


liczba pomiarow=1882
czas probkowania=1.00
 cisn  , sila  , sila  , przem , przem , przem , przem , przem ,
48.578,7.118,7.137,-0.059,0.020,0.035,0.009,0.024,
48.540,7.079,7.093,-0.061,0.022,0.037,0.011,0.026,
49.435,7.147,7.134,-0.064,0.025,0.040,0.014,0.029,
49.311,7.159,7.130,-0.069,0.030,0.045,0.019,0.034,
48.131,7.065,7.068,-0.075,0.036,0.050,0.025,0.039,
48.060,6.983,6.986,-0.078,0.039,0.054,0.029,0.044,
48.472,7.008,6.997,-0.087,0.048,0.062,0.038,0.052,
46.811,6.830,6.826,-0.105,0.068,0.081,0.058,0.070,
43.315,6.462,6.442,-0.123,0.088,0.100,0.078,0.090,
41.523,6.266,6.259,-0.131,0.098,0.109,0.087,0.099,
41.364,6.156,6.132,-0.138,0.105,0.116,0.096,0.108,
41.145,6.108,6.089,-0.149,0.116,0.128,0.108,0.118,
39.132,5.899,5.836,-0.164,0.134,0.144,0.125,0.135,
37.214,5.682,5.666,-0.173,0.145,0.156,0.136,0.146,
36.894,5.582,5.563,-0.182,0.153,0.164,0.146,0.154,
36.383,5.500,5.477,-0.196,0.168,0.180,0.164,0.169,
34.762,5.333,5.296,-0.214,0.186,0.198,0.184,0.186,
32.811,5.154,5.113,-0.224,0.197,0.209,0.195,0.198,
32.070,5.054,5.032,-0.230,0.202,0.214,0.200,0.203,
32.136,5.000,4.985,-0.232,0.206,0.218,0.204,0.206,
32.437,5.014,4.958,-0.235,0.210,0.223,0.208,0.210,
32.397,5.021,4.947,-0.243,0.220,0.232,0.219,0.220,
30.961,4.919,4.890,-0.248,0.227,0.239,0.225,0.227,
30.759,4.861,4.844,-0.251,0.231,0.242,0.228,0.230,
31.288,4.869,4.817,-0.255,0.235,0.246,0.232,0.234,
31.792,4.912,4.887,-0.263,0.243,0.255,0.241,0.242,
31.021,4.886,4.854,-0.272,0.254,0.265,0.252,0.253,
30.053,4.799,4.784,-0.277,0.259,0.270,0.256,0.258,
29.832,4.759,4.721,-0.280,0.262,0.273,0.259,0.260,
30.256,4.752,4.708,-0.282,0.265,0.276,0.262,0.264,
30.769,4.798,4.741,-0.290,0.273,0.283,0.270,0.270,
29.787,4.753,4.725,-0.295,0.278,0.289,0.275,0.277,
29.511,4.703,4.696,-0.298,0.280,0.292,0.278,0.280,
29.959,4.709,4.663,-0.301,0.283,0.295,0.281,0.283,
30.446,4.752,4.722,-0.308,0.292,0.303,0.289,0.291,
29.948,4.727,4.708,-0.318,0.303,0.314,0.298,0.303,
28.776,4.652,4.614,-0.324,0.308,0.320,0.303,0.309,
28.684,4.605,4.558,-0.327,0.311,0.322,0.305,0.312,
28.850,4.590,4.551,-0.329,0.313,0.325,0.307,0.314,
29.613,4.650,4.614,-0.335,0.320,0.331,0.315,0.320,
28.800,4.625,4.587,-0.341,0.326,0.337,0.321,0.327,
28.225,4.573,4.540,-0.343,0.329,0.340,0.323,0.329,
28.625,4.564,4.507,-0.344,0.331,0.343,0.325,0.331,
29.455,4.621,4.571,-0.350,0.338,0.350,0.332,0.339,
29.327,4.643,4.609,-0.360,0.348,0.360,0.343,0.349,
28.329,4.568,4.515,-0.365,0.354,0.366,0.348,0.355,
27.794,4.525,4.491,-0.367,0.357,0.369,0.350,0.358,
28.159,4.494,4.443,-0.370,0.359,0.371,0.352,0.360,
28.768,4.551,4.514,-0.375,0.366,0.378,0.361,0.367,
28.271,4.533,4.483,-0.382,0.374,0.385,0.370,0.373,
27.401,4.482,4.433,-0.385,0.376,0.388,0.372,0.376,
27.902,4.464,4.425,-0.387,0.379,0.390,0.375,0.378,
28.412,4.512,4.505,-0.394,0.386,0.398,0.382,0.386,
28.547,4.529,4.488,-0.402,0.395,0.407,0.391,0.395,
27.338,4.474,4.412,-0.407,0.401,0.412,0.395,0.402,
